行ID,文書ID,文書内ID,anotation1,anotation2,文,サービス,立地,部屋,設備・アメニティー,風呂,食事,その他
60,11,9,p,Z,今度は二泊位したいと言っていました。,,,,,,,1
61,11,10,p,p,帰りはバス停まで送って頂、お部屋担当の方も親切にして頂き本当に良かったです。,1,,,,,,
62,11,11,Z,Z,ありがとうございました。,,,,,,,1
,,,,,,,,,,,,
63,12,1,Z,Z,出張で利用しました。,,,,,,,
64,12,2,k,k,フロント女性の接客対応があきらさまにおかしいです。,1,,,,,,1
65,12,3,k,k,人の話しは聞かないし話しを聞くように注意したらどうぞみたいな対応で謝りもしない精算時にクレジットカードを使用したら磁気の無いところをスキャンしてこのカードは使えないので違うカードにしてくれなど自分は全く悪くないみたいな対応をしてきますすごく気分を害しましたもう二度と利用しません,1,,,,,,
,,,,,,,,,,,,
66,13,1,p,p,現在釧路で一番良いホテルではないでしょうか。,,,,,,,1
67,13,2,k,k,低層階にアサインされたので、景色は今ひとつでした。,,1,,,,,
68,13,3,p,p,夜の大浴場は光のセンスが良くて落ち着けます。,,,,,1,,
,,,,,,,,,,,,
69,14,1,p,p,初めて利用しましたが、立地が良い（駅からは遠いが、地下道で連結していて分かりやすい）点が満足でした。,,1,,,,,
70,14,2,p,p,また、フロントの対応、特に、宅配便の担当の方はとても好印象でした。,1,,,,,,
71,14,3,y,y,一つ、要望を言わせていただくと、部屋に荷物を置くための台のような物（正式名称が分かりませんが、折りたたみ式の物）があると、もっと快適な部屋になったと思います。,,,,1,,,
72,14,4,y,y,ご検討いただければ幸いです。,,,,,,,1
73,14,5,p,p,今回、楽天予約で格安に利用できたので、大変良かったです。,1,,,,,,
74,14,6,p,Z,機会があれば、また利用したいと思います。,,,,,,,1
,,,,,,,,,,,,
75,15,1,p,p,駅から程近く、商店街のような中にあるので食事やちょっとした買い物もとても便利でした。,,1,,,,,
76,15,2,p,p,都心にも横浜にも行きやすくとてもよかったです。,,1,,,,,
77,15,3,k,k,残念なのは部屋の暖房が、冷風しか出ませんでした。,,,1,1,,,
78,15,4,k,k,又うすい掛け布団1枚しかなかったので、在室中ずっと寒い思いをしました。,,,,1,,,
79,15,5,y,y,せめて毛布くらい用意してほしかったと思います。,,,,1,,,
,,,,,,,,,,,,
80,16,1,Z,Z,２回目の利用です。,,,,,,,1
81,16,2,p,p,駅に近く、立地が大変便利、落ち着いて過ごせる良いホテルと思います。,,1,,,,,
82,16,3,Z,Z,今回感じた点を一つ。,,,,,,,1
83,16,4,k,k,室内に設置されているお茶（ティーパック）に関してですが、他のホテルでは、緑茶の他にほうじ茶や紅茶などが数個分用意されている事が多いのですが、こちらでは緑茶１パックのみ。,,,1,1,,,
84,16,5,k,k,大人一人夜から朝まで緑茶１杯で済むわけが無く、朝食をとらない素泊まりの場合は特に、ケチケチしているなぁという感じが拭えません。,,,,1,,,
85,16,6,y,y,エコを考えての事だと思いますが‥お部屋の１つの他に、フロント脇に置かれているアメニティーグッズ同様、お茶類も数種類を置いてはいかがでしょうか？,,,,1,,,
86,16,7,y,y,ご一考を。,,,,,,,1
,,,,,,,,,,,,
87,17,1,Z,Z,初めて利用しました。,,,,,,,1
88,17,2,p,p,総じては快適なホテルでした。,,,,,,,1
89,17,3,p,p,眺望よし、ベッドの心地よさ具合よし、お風呂のお湯もすぐにたまり、部屋自体は良いと思います。,,1,,,,,
90,17,4,p,p,また梅田ーホテル無料シャトルバスも出ているので、便利でした。,,1,,,,,
91,17,5,p,p,なによりスタッフの方のわたしたちへの挨拶や笑顔がよかったです。,1,,,,,,
92,17,6,pk,k,今後もまた泊まりたいと思っているので、欲を言わせてもらえれば、１）禁煙ルームなのに入った瞬間煙草の匂いがした。（部屋の掃除の方が気づいたまま放置されたのか、気付かないのかでも今後の対策が変わると思いますが）,,,1,1,,,
93,17,7,ky,k,２）加湿器を予約時にメールで依頼しており、宿泊前日にも電話で確認したら「準備できています」との回答でしたが、実際は設置されていませんでした。（どういう連絡体制、準備体制になっていたか確認されたほうがよいと思います）,,,,1,,,1
94,17,8,Z,Z,。,,,,,,,
95,17,9,y,y,１）、２）とも疲れていたのですぐに寝てしまい、最終的には当日要望をだすことはしませんでしたが、部屋に入った瞬間の（ホテルへの）イメージは私は大事だと思うので、改善してもらえると今後助かります。,1,,,,,,
96,17,10,Z,Z,【20：00以降チェックイン限定】☆,,,,,,,1
97,17,11,Z,Z,"お食事券総額10,000円付プラン♪☆",,,,,,,1
98,17,12,Z,Z,ゲストルーム・ダブル（禁煙）,,,,,,,1
,,,,,,,,,,,,
99,18,1,Z,Z,10月25日に宿泊しました。,,,,,,,1
100,18,2,p,p,高台にあるのでお風呂、部屋からの景色がもよく癒されます。,,1,,,1,,
101,18,3,y,y,露天風呂があればさらに良かったですが。,,,,,1,,
102,18,4,p,p,食事もなかなか。,,,,,,1,
,,,,,,,,,,,,
103,19,1,Z,Z,２０年ぶりに濁河温泉に行きました記憶が、ほとんどなく、始めていく感じでした。,,,,,,,1
104,19,2,p,p,ホテルの方も大変礼儀もよく満足しました。,1,,,,,,
105,19,3,p,p,蕎麦アレルギーなので、そばは、食べれなかったのですが、味は少し濃いめかなと、思いましたが、おいしかったですよ。,,,,,,1,
106,19,4,k,k,このたび一番の楽しみなのが、やはり、温泉、でもとてもぬるくて、なかなか、温まらなくて、特に露天にはいったらとてもさらにぬるくて入った気がしませんでした。,,,,,1,,
107,19,5,k,k,せっかくの温泉で眺めもいいのに、私の中では残念でした。,,,,,1,,
108,19,6,p,p,ただ、次の日雪が積もっていて、びっくり雪景色が満足させてくれました。,,1,,,,,
,,,,,,,,,,,,
109,20,1,p,p,新しいホテルなので、部屋も綺麗です。,,,1,1,,,
110,20,2,p,p,また、室内が明るく、仕事しやすいです。,,,1,1,,,
111,20,3,k,k,しかし、難点は駐車場です。,,,,1,,,
112,20,4,Z,Z,満車の事があるので、はじめからそのつもりで近隣駐車場を利用するようになりました。,,,,1,,,
,,,,,,,,,,,,
113,21,1,Z,Z,12月12日に一泊しました。,,,,,,,1
114,21,2,p,p,●写真の通り部屋＆そこから眺められるお庭は素晴らしいものでした。,,,,,,,1
115,21,3,p,p,●サービス面ではこのお値段の旅館ではまあまあかな？という感じでした。,1,,,,,,
116,21,4,k,k,しかし、お部屋の露天風呂は無いに等しいです。,,,,,1,,
117,21,5,k,k,大体の場合、部屋に併設されている露天風呂は期待しないほうなんですが、プランの名前【露天風呂付貴賓室】のようなイメージは全くない内風呂でした。（私の勝手な想像ですが。。）,,,,,1,,
118,21,6,p,p,大風呂はなかなか趣きあって良かったので十分ですが。。。,,,,,1,,
119,21,7,p,p,●食事はうまかった！,,,,,,1,
120,21,8,p,p,朝晩ともにおなかいっぱいいただきました。,,,,,,1,
121,21,9,p,p,お酒がすすむいいお料理でした。,,,,,,1,
,,,,,,,,,,,,
122,22,1,k,k,入館料１０５０円を徴収された。,1,,,,,,
123,22,2,k,k,カード利用で予約しているにも関わらずその他費用は現金のみと頑固に言われた。,1,,,,,,
,,,,,,,,,,,,
124,23,1,k,k,楽天トラベルからの予約について、予約が入ってない様でチェックインの際にどこから予約・料金プランなど聞かれ、携帯予約画面まで見せたのに戸惑いました。,1,,,,,,
125,23,2,k,k,さんざん待たせ「今回はこちらの料金でさせてもらいました」との一言にカチン・・・ポイント１０倍プランなのに、本当に１０倍付けてもらえるのか？,1,,,,,,
126,23,3,k,k,不安です。,,,,,,,1
,,,,,,,,,,,,
127,24,1,p,p,フロントの方の対応は、大きなホテルにはない「親しみやすさ」を感じました。,1,,,,,,
128,24,2,k,k,周りには飲食店があまり無いところが不便でした。,,1,,,,,
129,24,3,p,p,この値段なら満足です。,,,,,,,1
,,,,,,,1,,,,,
130,25,1,p,p,立地は良いと思います。,,1,,,,,
131,25,2,p,p,繁華街とは反対口なのですが、かえって静かで良く眠れました。,,,,,,1,
132,25,3,k,k,朝食は種類が少し物足りない気がしますが、500円ということを考えると仕方がないですね。,,,,,,1,
133,25,4,y,y,でも牛乳が飲みたかったです。,,,,,,,1
134,25,5,p,p,全体的には、コストパフォーマンスが高く、満足してます。,,,,,,,1
135,25,6,Z,Z,機会がありましたら、また利用したいと思います。,,,,,,,
,,,,,,,,,,,,
136,26,1,k,k,熊本駅が工事中だったせいか、ホテルの場所がイマイチわかり難かったです。,,1,,,,,
137,26,2,e,e,ステーションホテルというより寧ろリバーサイドホテルという感じ。,,,,,,,1
138,26,3,e,e,施設は、ごく普通の地方のビジネスホテルです。,,,,,,,1
139,26,4,p,p,利用しませんでしたが、コインランドリーが無料というのは結構助かると思います。,,,,1,,,
,,,,,,,,,,,,
140,27,1,p,p,場所も分かりやすい、中もなかなか広く良い感じです。,,1,,,,,
141,27,2,p,p,アメニティも充分と思います。,,,,1,,,
142,27,3,k,k,受けつけの説明が今一つなのと、言わないと領収書発行しない点が難点。,1,,,,,,
,,,,,,,,,,,,
143,28,1,pk,e,お部屋からの眺めは海外のようでとても良かったですし、ホテルの設備も良かったのですが、なんと言ってもホスピタリティの問題が。。。,1,,,,,,
144,28,2,k,k,北海道のこんな田舎で、それも宿泊客から駐車場代を取るとはびっくりでした。,,,,1,,,
145,28,3,k,k,また隣接するショッピングモールで買い物をすると観覧車が無料になるとネットで見たのであの広いモール内を端から端まで歩いて行ったところ、出口でやっと月曜日の休日の替わりに代休との表示が！,,,,1,,,
146,28,4,k,k,なぜホテル内やモール内での表示や説明などのサービスがないのか。。。,1,,,,,,
147,28,5,y,y,また朝食についても、せっかく対面式のキッチンがあり、シェフらしき人がいるならオムレツや卵焼きなど位はその場で作るなどのサービスがあっても良いのではないでしょうか？,,,,,,1,
148,28,6,k,k,お客さんが少ないようなので、品数が少ないのは仕方がないとは思いますが、ホットミールなどもぬるいですし、食指が動く物が少なくて残念でした。,,,,,,1,
149,28,7,k,k,小樽出身で、久しぶりに訪れ、楽しみにしていただけに残念に思いました。,,,,,,,1
,,,,,,,,,,,,
150,29,1,Z,Z,JR阿佐ヶ谷駅すぐ横、ホーム横と言っていいところにあるホテルです。,,1,,,,,
151,29,2,p,p,駅前なのに宿泊料金の安さに驚かされました。,,,,,,,1
152,29,3,kp,e,でも夜、近くの飲食店のにぎわいで、早くに就寝する方には向いていないかと思われますが、気にならなければGOODです。,,1,1,,,,
,,,,,,,,,,,,
153,30,1,p,p,大阪市内でこの価格は有難かったです。,,1,,,,,
154,30,2,y,k,夜中に廊下が騒がしかったので、もう少し静かにしてもらえれば良かったです。,,,1,,,,
,,,,,,,,,,,,
155,31,1,k,k,プランの程度によって待遇が変化するのには閉口する。,1,,,,,,
156,31,2,y,y,そうであれば、待遇の良否の情報を予め提供すべきである。,1,,,,,,
157,31,3,y,k,通常の半額程度の格安料金だと言うのであれば、通常のサービスをもって対応するのは当然。,1,,,,,,
158,31,4,k,k,半額程度の施設、待遇であれば、格安料金というのは詐欺的な行為であると言わざるを得ない。,,,,1,,,
159,31,5,k,k,これはゆゆしきことで、楽天トラベルの信用問題でもある。,1,,,,,,
160,31,6,k,k,当施設は、３回目の利用であるが、クライアントの旅の思いを逆なでにした。,1,,,,,,
161,31,7,k,k,向後は利用したくない施設の一つになった。,1,,,,,,
162,31,8,y,k,貴トラベルの対処を注目している。,1,,,,,,
,,,,,,,,,,,,
163,32,1,Z,Z,2010.2.,,,,,,,1
164,32,2,Z,Z,19に一泊させていただきました。,,,,,,,1
165,32,3,p,p,スキー場のゴンドラから非常に近く、楽に行き来できました。,,1,,,,,
166,32,4,pk,e,気になった点を挙げるとするなら２０２号室のストーブの調子が少し悪かったのと、駐車場が狭く、気軽に車を出し入れしづらいところぐらいで総合的には、スタッフさん達も優しい方ばかりでとても気持ち良く過ごせました。,,,,1,,,
167,32,5,Z,Z,また、野沢温泉に滑りに行く際は利用させていただければと思います。,,,,,,,1
168,32,6,Z,Z,ありがとうございました。,,,,,,,1
,,,,,,,,,,,,
169,33,1,p,p,廉価提供で満足。,,,,,,,1
170,33,2,k,k,夕食の提供が無かったことは残念。,,,,,,1,
171,33,3,k,k,折角のレストランがあるのに・・・。,1,,,,,,
172,33,4,e,e,利用者が少ないのなら仕方ないかも。,1,,,,,,
,,,,,,,,,,,,
173,34,1,k,k,シャワーが使いにくかった。,,,,1,,,
174,34,2,k,k,排水が悪い。,,,,1,,,
,,,,,,,,,,,,
175,35,1,p,p,駅やコンビニが近く、非常に便利な立地でした。,,1,,,,,
176,35,2,p,p,また、従業員の方の対応もよく、さすが老舗だと感じました。,1,,,,,,
177,35,3,p,p,部屋も広く、3人部屋ですが圧迫感を感じませんでした。,,,1,,,,
178,35,4,y,k,贅沢を言えば、乾燥しがちなので加湿器の備え付けがあれば、また、シャンプーとリンスは別のものがあればと思います。,,,,1,,,
,,,,,,,,,,,,
179,36,1,Z,Z,お世話になりました。,,,,,,,1
180,36,2,k,k,いつも思うことですがシャンプーが嫌です。,,,,1,,,
181,36,3,k,k,バサバサになります。,,,,1,,,
182,36,4,y,y,コンディショナーでもあればいいのですが。,,,,1,,,
183,36,5,y,y,ご検討をお願いします。,,,,,,,1
,,,,,,,,,,,,
184,37,1,p,p,お部屋自体は綺麗でした。,,,1,,,,
185,37,2,k,k,お風呂ですが、当日寒かったので、お湯をためてから入ろうとしたのですが、なんともお湯がたまるのが遅いこと・・・。,,,,1,,,
186,37,3,y,k,ここまで遅いところはいまだかつてなかったので、これから寒くなってきますし改善求めます、、,1,,,,,,
,,,,,,,,,,,,
187,38,1,Z,Z,今回は、大文字焼を観に行ったのですが、残念ながらホテルからは観ることができず、花火を真下から観ました。,,,,,,,1
188,38,2,Z,Z,ホテル側も、はじめての夏だったようで、いろんな事が把握できないようでした。,1,,,,,,
189,38,3,p,p,部屋のお風呂は、温度も調度よく何度も入ることができました。,,,,,1,,
190,38,4,p,p,眺めもとてもよかったです。,,,,,1,,
191,38,5,k,k,ちょっと料金の割にせまいかな・・・と感じました。,,,1,,,,
192,38,6,k,k,廊下は、ほかの部屋の声が丸聞こえでしたし・・・。,,,1,,,,
193,38,7,p,p,レストランからの眺めは最高でした。,,1,,,,,
194,38,8,p,p,夜景も、朝も天気がよくて良かったです。,,1,,,,,
195,38,9,y,y,食事の説明（ワインも）がもっとあったら、高級感が増したと思います。,,,,,,1,
196,38,10,k,k,従業員も、すみませーんと、何度も呼ばないと出てこなかったりと、混んでないのに残念だなと思いました。,1,,,,,,
197,38,11,p,p,朝食のパンはとても美味しかったです。,,,,,,1,
198,38,12,k,k,二人共の意見で、トータル的に、割高感が残りましたね。,1,,,,,,
,,,,,,,,,,,,
199,39,1,Z,Z,出張で利用させて頂きました。,,,,,,,1
200,39,2,p,p,フロントの方々はとても感じが良く、有りがたいです。,,,,,1,,
201,39,3,p,p,また、温泉は良かったです。,,,,,,1,
202,39,4,k,k,朝食ですが、係の女性の方ですが、無愛想でした。,,,,,,1,
203,39,5,k,k,メインのお料理が何なのか？,,,,,,1,
204,39,6,y,y,もう少し、品数を増やして欲しいですね。,,,,,,1,
205,39,7,y,y,メインとなる食事をおいて欲しいのは当然ですが、日本人の食の基本となる、のりとか、納豆、生卵など置いてあると有りがたいです。,,,,,,1,
206,39,8,k,k,係の女性に聞いても、『有りません』とぶっきらぼうで無愛想。,1,,,,,,
207,39,9,k,k,無いのが当然のようでした。,,,,,,,1
,,,,,,,,,,,,
208,40,1,Z,Z,２８日（土）一泊お世話になりました。,,,,,,,1
209,40,2,Z,Z,ありがとうございました。,,,,,,,1
210,40,3,p,p,フロント始めスタッフの皆さんテキパキと行動され良い印象を持ちました。,1,,,,,,
211,40,4,p,p,また浴衣にしても色々と用意されており行き届いたサービスだと思います。,,,,1,,,
212,40,5,p,p,食事については部屋食でないので心配していたのですが、和風レストランで殆ど貸切状態だったので良かったです。,,,,,,1,
213,40,6,p,p,また食事内容について満足しています。,,,,,,1,
214,40,7,y,y,ただお蕎麦が折角なので越前名物のおろし蕎麦だったらと思いました。,,,,,,1,
215,40,8,p,p,お風呂もきれいな広いもので満足です。,,,,,1,,
216,40,9,p,p,コンビにもすぐホテルの裏手にあり問題なしです。,,1,,,,,
217,40,10,p,p,ホテルの周辺はサッカー場や公園で広々としており、駐車場も十分にあり当然無料でした。,,1,,,,,
218,40,11,Z,Z,また機会があれば利用させていただきたいと思います。,,,,,,,1
219,40,12,Z,Z,ありがとうございました。,,,,,,,1
,,,,,,,,,,,,
220,41,1,p,p,新しいし、禁煙ルームへの宿泊であったので、きれいでゆっくりできました。,,,1,,,,
221,41,2,Z,p,今後も、この値段で宿泊できるなら利用したい。,,,,,,,1
222,41,3,k,k,これが、開店記念価格で、これ以上上がるのであれば、サービス面からグレードを上げてもらわないと、コストパフォーマンスは悪い。,,,,,,,1
223,41,4,y,y,深夜の入館法は、もっとシンプルでよいのではないか。,1,,,,,,
224,41,5,y,y,各階にセキュリティー入室を、セッティングしているのだから、一階から宿泊階へ直接行けるようにしてほしい。,1,,,,,,
225,41,6,y,y,もしくは一階のセキュリティーをなししてほしい。,1,,,,,,
,,,,,,,,,,,,
226,42,1,pk,e,料金、立地条件は良かったのですが冷蔵庫が今一冷えなかったのと、シャワーが適温にならなかったのが残念でした。,,,,1,,,
,,,,,,,,,,,,
227,43,1,pk,e,部屋は狭かったが、綺麗だったので部屋に関してはそんなに不満はありません。,,,1,,,,
228,43,2,Z,Z,浴衣だと帯がすぐほどけてしまうので、浴衣ではなくパジャマ（上下別々ではなく、イメージとしては浴衣にボタンがついたような感じ）だったのは助かります。,,,,1,,,
229,43,3,pk,e,従業員の方の対応も、明らかに営業スマイルって感じの方も中にはいましたが、全体的には良かったです。,1,,,,,,
230,43,4,k,k,朝食は、パンの種類が少ないのは我慢できますが、バターやジャムなど、パンにつける物が一切なかったのは非常に不満です。,,,,,,1,
231,43,5,k,k,ビジネスホテルで朝食をたべるのは数年ぶりなので楽しみにしていたのに裏切られた感じでした。,,,,,,1,
232,43,6,k,k,バターやジャムなどがあれば全体的にはまあまあだったので「機会があればまた泊まろうかな」と思っていましたが、朝食のそれで一気にテンションが下がったので、また泊まりたいとは思いません。,,,,,,1,
,,,,,,,,,,,,
233,44,1,p,p,赤坂駅から少し距離がありましたが、通りをブラブラ見物しながら楽しく歩けました。,,1,,,,,
234,44,2,y,k,朝食は、ロールパンだったのでトーストや種類が選べたら良いなぁ？と思いました。,,,,,,1,
235,44,3,Z,Z,又、機会があれば泊まりたいです。,,,,,,,1
,,,,,,,,,,,,
236,45,1,Z,Z,3月20日に、1泊のみ利用しました。,,,,,,,1
237,45,2,Z,Z,数十年ぶりの下呂温泉でした。,,,,,1,,
238,45,3,Z,o,いつもは熱海ですが、久し振りに活気有る温泉街だなぁと感じました。,,,,,1,,
239,45,4,pk,e,温泉は、設備の割りに狭く感じましたが、偶然にも「イモ洗い状態」には遭遇せずに快適でした。,,,,,1,,
240,45,5,Z,Z,泉質が単純泉？,,,,,1,,
241,45,6,k,k,なのか、あまり温泉！って感じがしませんでした。,,,,,1,,
242,45,7,p,p,料理は、飛騨牛を美味しく頂きました。,,,,,,1,
243,45,8,p,p,個人的には「塩」が口に合い間したが、刺身用山葵しょうゆで肉を食べれば格別でした。,,,,,,1,
244,45,9,p,p,土鍋ごはんも最高。,,,,,,1,
245,45,10,p,p,部屋の案内も頂き「うわさの早口言葉」であっても説明十分で、、感心するほどでした。,,,1,,,,
246,45,11,k,k,ただ、扉などの建て付けが甘く感じました。,,,1,,,,
247,45,12,k,k,おしゃれな電話機も・・・ウェイクアップコール設定が判りませんでした。,,,,1,,,
248,45,13,p,p,ゴージャスな高級感は感じませんでしたが、従業員の「客をもてなす取組み：余興」などは感じ取れました。,1,,,,,,
249,45,14,p,p,売店の方は親切で、２回に分けた会計でも・・・くじ引きどうぞ！っと感じよかったです。,1,,,,,,
250,45,15,p,Z,また別の彼女と行きます！,1,,,,,,
,,,,,,,,,,,,
251,46,1,pk,e,建物は少々古かったですが、立地・サービス・料金共満足です。,1,,,,,,
252,46,2,p,p,ツインのシングルユースでしたので、広い部屋で快適でした。,,,1,1,,,
253,46,3,p,p,当日の朝刊ですが、無料でサービスして頂き助かりました。,1,,,,,,
,,,,,,,,,,,,
254,47,1,k,k,アメニティが一切置かれてないのに、入浴剤だけは置いてありました。,,,,1,,,
255,47,2,k,k,歯ブラシやかみそり、ブラシより、必要性が薄いかと・・・廊下の話し声は良く聞こえます。,,,,1,,,
256,47,3,Z,Z,他の方の感想にもある様に、うるさく、大変嫌な思いをされた方もいらっしゃる様ですが、私達の宿泊の際はマナーの良い方が多かったのか、気になりませんでした。,,,1,1,,,
257,47,4,Z,Z,そういった点では、ホテル側だけでなく、宿泊者同士の心配りも必要になるホテルだと思いました。,,,,,,,1
,,,,,,,,,,,,
258,48,1,Z,Z,今回は、会議と宿泊とで利用しました。,,,,,,,1
259,48,2,p,p,総合評価は、満足です。,,,,,,,1
260,48,3,y,y,ひとつ要望を申し上げるとすれば、次の点があります。,,,,,,,1
261,48,4,k,k,朝食時間は、９時３０分までとされていましたが、１５分前にレストランの入口に“準備中”の看板が掲げられていました。,,,,,,1,
