行ID,文書ID,文書内ID,anotation1,anotation2,文,サービス,立地,部屋,設備・アメニティー,風呂,食事,その他
2236,430,8,ky,k,まず、ホテルのベッドとベッドの上のモノを置くスペースに謎の直径１センチほどの黒い塊がいくつもあり（天井からおちてきたのかなと思いましたがそんな感じでもなかったです。）手で払いのけましたが、掃除を徹底していただきたかったです。,,,1,,,,
2237,430,9,k,k,そしてシャワーの出が悪かったです。,,,,,1,,
2238,430,10,k,k,シャンプーを洗い流すのにとても時間がかかりました。。。,,,,,1,,
2239,430,11,y,y,最後にわがままをいうのであれば、朝食にヨーグルトのような簡単なデザートがついてくれたらなと思いました。,,,,,,1,
2240,430,12,p,p,リーズナブルでとても気に入っているホテルです。,,,,,,,1
2241,430,13,Z,Z,これからもたくさんの方に利用していただきたいです。,,,,,,,1
,,,,,,,,,,,,
2242,431,1,p,p,大晦日から元旦にかけて宿泊しましたおかげで御殿場アウトレットに一般道で１時間かからず行くことができました。,,,,,,,1
2243,431,2,p,p,行く途中には富士山がきれいに見えたし、道もわかりやすかったです。,,1,,,,,
2244,431,3,p,p,朝食バイイングは種類も豊富でお雑煮などお正月らしいおかずもあっておいしかったです。,,,,,,1,
2245,431,4,k,k,１階のレストランでいただきましたが、せっかく富士山が見える立地なのでもっと上階にあるといいのになあと思いました温泉は１階フロント前にあり、入るのに鍵をもらはなくてはならず、チェックインのお客さんがいるときは気まずかったです。,,,,,1,1,
2246,431,5,k,k,そして入ってびっくり、脱衣所のロッカーに鍵がなく棚だけ。,,,,,1,,
2247,431,6,k,k,大人２人で満員状態。,,,,,,,1
2248,431,7,k,k,家族でゆっくり入るつもりが順番に荷物番をしての入浴となりとても残念でした。,,,,,1,,
2249,431,8,k,k,温泉の質はよかったのにこの脱衣所では残念です。,,,,,1,,
2250,431,9,e,Z,ホテルでくつろぐより買い物目的で利用なら仕方ないかもしれません,,,,,,,1
,,,,,,,,,,,,
2251,432,1,k,k,普通のビルの5階からがホテルなので場所がわかり難くて迷いました。,,1,,,,,
2252,432,2,p,p,しかしホテル階は広いラウンジもありとても清潔で温かみがあり、高級感が漂っています。,,,,,,,1
2253,432,3,p,p,部屋もベッドが広く、椅子やテーブルも工夫されておりくつろげました。,,,1,,,,
2254,432,4,p,p,またベッドのシーツも、ビジネスホテルにありがちな布団と敷布団に間にシーツが1枚あるだけのようなタイプでなく、掛け布団にシーツがついているタイプだったのでよかったです。,,,1,,,,
2255,432,5,Z,Z,朝食は何種類かのパン・サラダ・スープ・シリアル・ヨーグルト等がありました。,,,,,,1,
2256,432,6,y,k,パンが冷たく冷えていたので暖かければいいなと思いました。,,,,,,1,
2257,432,7,p,p,とても満足できるホテルだったので、また仙台に出張するときは利用したいと思います。,,,,,,,1
,,,,,,,,,,,,
2258,433,1,Z,Z,出張で利用しました。,,,,,,,1
2259,433,2,p,p,部屋は申し分なく特にベット＆枕は快適でした。,,,1,,,,
2260,433,3,y,y,今後の希望としては無線ＬＡＮを設置して宿泊客だけでもＷｉＦｉ等が利用できるようにして欲しいです。,,,,1,,,
,,,,,,,,,,,,
2261,434,1,Z,Z,いつもお世話になっております。,,,,,,,1
2262,434,2,p,p,また、この度も桜川沿いの505号室を用意して頂き有難う御座いました。,,,1,,,,
2263,434,3,Z,Z,茨城へ行く時は必ずといっていいくらい利用させて頂いております。,,,,,,,1
2264,434,4,p,p,禁煙ルームが増える昨今私どもにとっていつもご配慮有り難く思っております。,1,,1,,,,
2265,434,5,p,p,いつもながらの朝食バイキングも美味しく頂きました。,,,,,,1,
2266,434,6,k,k,今回『煮物』がありませんでしたね。,,,,,,1,
2267,434,7,k,k,一寸残念でした。,,,,,,,1
2268,434,8,p,p,カレーもいいですね。,,,,,,1,
2269,434,9,p,p,私好みの味でつい御替りしてしまいました。,,,,,,1,
2270,434,10,Z,Z,次回も利用させて頂きますのでその節はよろしく。,,,,,,,1
2271,434,11,Z,e,そうそう、書きたくなかったのですが、洗面所のドライヤー。,,,,1,,,
2272,434,12,y,y,多分コンセントだと思いますが一度点検してみてください。,,,,1,,,
,,,,,,,,,,,,
2273,435,1,p,p,お料理はどれもおいしく、大満足でした！！,,,,,,1,
2274,435,2,p,p,最後の桜えびごはんにデザートまで手が込んでいて良かったです。,,,,,,1,
2275,435,3,k,k,お部屋にしかお風呂が無いのは、わかっていたとはいえ、ちょっとでした。,,,,,1,,
2276,435,4,y,y,もう少し内風呂が大きいといいですね。,,,,,1,,
2277,435,5,k,Z,特に寒い日でしたので・・・・いきなり露天にはいけないので。,,,,,1,,
2278,435,6,k,k,お料理で出てきたおいしいお塩をおみやげに購入しましたが、近所のお店で半額で売っていたのにはびっくりでした。,,,,,,,1
,,,,,,,,,,,,
2279,436,1,p,p,名古屋駅から近いのでよかったです。,,1,,,,,
2280,436,2,p,p,朝食のバイキングも種類も多く満足でした。,,,,,,1,
2281,436,3,p,p,室内からインターネット接続するのにモデム貸し出しをしてくれたので助かりました。,,,,1,,,
2282,436,4,k,k,モデムの使用方法などは部屋にあったのですが、モデムをフロントで貸し出しているというインフォメーションが無かったため、部屋中探し回ってしまいました。,,,,1,,,
2283,436,5,y,y,チェックイン時に一言あるとよかったですね。,,,,,,,1
,,,,,,,,,,,,
2284,437,1,Z,Z,初めて利用させて頂きました。,,,,,,,1
2285,437,2,p,p,子供の引越しと大学の入学式があったので、二泊三日で宿泊しましたが、朝食はサラダやスープも美味しく頂きました。,,,,,,1,
2286,437,3,p,p,皆さんが書かれているように、ウェルカムコーヒーは有り難いサービスでした。,,,,,,1,
2287,437,4,p,p,お部屋は高い階のツインでしたが、静かで見晴らしも良く、快適に過ごさせて頂きました。,,,1,,,,
2288,437,5,e,k,これは仕方ないかもしれませんが、ご用意頂いたナイトウェアが子供が長身なので、かなり短くて自分のスラックスを穿いて寝ました。（フロントに相談してみれば良かったかも・・と後で思いました。）,,,,1,,,
2289,437,6,p,p,総合的にはとても気持ちよく宿泊させて頂きました。,,,,,,,1
2290,437,7,Z,Z,また機会が御座いましたら利用させて頂きたく存じます。,,,,,,,1
2291,437,8,Z,Z,お世話になりました。,,,,,,,1
,,,,,,,,,,,,
2292,438,1,Z,Z,初めて宿泊しました。,,,,,,,1
2293,438,2,p,p,噂には聞いていましたが、福井県では最高かもしれません。,,,,,,,1
2294,438,3,p,p,福井にはよく出張するのですが、今までで一番よかったです。,,,,,,,1
2295,438,4,p,p,また、当日限定の安い料金での宿泊でしたが、最近のビジネスホテルと違い、部屋が広くて清潔、とてもよかったです。,,,1,,,,
2296,438,5,Z,Z,今回は朝食を取らなかったのですが、次回は朝食を食べてみたいと思います。,,,,,,1,
2297,438,6,y,y,あと、駐車場の予約ができると有難いですね。,1,,,,,,
2298,438,7,k,k,契約駐車場も場所がよくわからなかったです。,,1,,,,,
,,,,,,,,,,,,
2299,439,1,p,p,立地は最高、総合的には十分満足しています。,,1,,,,,
2300,439,2,k,k,インターネット接続にはキットを借りる必要があるのですが、使い方説明が付属されておらず、初日は接続ができませんでした。,,,,1,,,
2301,439,3,ky,k,原因は、壁からのケーブルがテレビ台の裏に隠れて見つからなかったためですが、説明書があったら探したと思います。,,,,1,,,
,,,,,,,,,,,,
2302,440,1,p,p,新しいらしく清潔で快適でした。,,,1,,,,
2303,440,2,p,p,従業員もみな感じがいいし、お部屋も比較的広くてすごしやすかったです。,1,,,,,,
2304,440,3,p,p,人口温泉のお風呂も最高でした〜。,,,,,1,,
2305,440,4,p,p,疲れがとれます。,,,,,,,1
2306,440,5,k,k,唯一残念だったのが、朝食バイキングの補充がやたらと遅いこと。,,,,,,1,
2307,440,6,k,k,3日のうち、納豆は1日しかｇｅｔできなかったし、１日は味噌汁が底をついた状態のまま。,,,,,,1,
2308,440,7,Z,e,おかずもそんなのがちらほら・・・。,,,,,,1,
2309,440,8,y,y,結構混んでいたので大変だとは思いますが、朝食は一日の始まりなのでもう少ししっかり見張って、補充してほしいです。,1,,,,,1,
,,,,,,,,,,,,
2310,441,1,Z,Z,家族4人で、ツイン2部屋、2泊お世話になりました。,,,1,,,,
2311,441,2,p,p,便利の良いロケーションと、サービス感溢れるホスピタリティには満足できました。,1,1,,,,,
2312,441,3,pk,e,10階の部屋を用意して頂き、見晴らしも良く、他の階の喧噪も気になりませんでしたが、エレベーターが１台しかなく、待たされることが気になりました。,,,1,,,,
2313,441,4,pk,e,また、このようなホテルで、大浴場があること自体非常にめずらしく、十分なサービスだとは思いますが、タイミング悪く団体とかち合い、洗い場が使えないどころか、浴槽も芋洗い状態でした。,,,,,1,,
2314,441,5,k,k,以上は、他の宿泊客とのタイミングで、ホテル側に対するお願いではありませんが、一点のみ、１階の売店及び飲食店の閉店時間が早く、寝酒を一杯と思っていましたがそれが出来ずちょっと不便を感じました。,1,,,,,,
2315,441,6,k,k,町中にあるので、駐車料金一泊1000円も仕方ないのでしょうが、少し高いように感じました。,,,,,,,1
,,,,,,,,,,,,
2316,442,1,p,p,フロント・駐車場係りの対応良く、気持ちよく宿泊できました。,1,,,,,,
2317,442,2,e,p,食事もまずまずでした。,,,,,,1,
2318,442,3,k,k,ポイント会員募集していましたが、楽天からの予約ではポイント付与でくないとのことで残念でした。,,,,,,,1
,,,,,,,,,,,,
2319,443,1,Z,Z,初めて利用しました。,,,,,,,1
2320,443,2,p,p,駅からのアクセスもよく近くにコンビニもあり立地条件は申し分ないと思います。,,1,,,,,
2321,443,3,p,p,フロントの方も親切に対応頂きました。,1,,,,,,
2322,443,4,k,k,古いホテルなのでしょうがないと思いますが、ユニットバスやトイレは狭く、使いづらかったです。,,,,,1,,
,,,,,,,,,,,,
2323,444,1,pk,e,ホテル自体は申し分ないとは思いますが、いかんせんJRは阪急の駅から遠いのが・・・。,,1,,,,,
2324,444,2,p,p,それ以外は本当に良いと思います。,,,,,,,1
2325,444,3,p,p,コンビニも近いし。,,1,,,,,
,,,,,,,,,,,,
2326,445,1,py,e,朝早い海外便のときは、いつも利用しています。という訳で良いところなのですが、ただ一つ、いまどきインターネットが時間単位で有料なのは、やめて戴けないでしょうか？,1,,,1,,,
2327,445,2,Z,e,海外でもそんことは無くなっている時代です。,,,,,,,1
2328,445,3,Z,Z,この評価は、パリのホテルから（もちろんただで）書き込んでいます。,,,,,,,1
,,,,,,,,,,,,
2329,446,1,e,Z,頑張っているビジネスホテルだと思いますが...（再利用しました）,,,,,,,1
2330,446,2,p,p,【情報・良い点】ホテルは２つの建物に別れていて本館でチェックインをする。,1,,,,,,
2331,446,3,Z,o,本館の禁煙フロアーは２フロアーだけ、西館は不明。,1,,,,,,
2332,446,4,p,p,西館はオートロックでの出入り。（以前より味が良くなった）,,,,,,,1
2333,446,5,p,o,無料コーヒーのサービス。,,,,,,1,
2334,446,6,Z,o,無料朝食は事前に献立の掲示があり日替わりメニュー。,,,,,,1,
2335,446,7,p,p,朝食の時間が6:30AMからで、朝食のお米が新米になったのか良くなり、料理も改善された。,,,,,,1,
2336,446,8,p,p,ベットが硬く寝心地が良かった。,,,1,,,,
2337,446,9,p,p,部屋が間接照明だけでなく蛍光灯照明もあり明るかった。,,,1,,,,
2338,446,10,p,o,加湿器の無料貸出、人口温泉の大浴場。,,,,1,1,,
2339,446,11,p,p,清掃は全てに渡って充分されていた。,,,1,,,,
2340,446,12,k,k,【気になった点】以前に指摘し改善するとレスがあったが、今回宿泊した部屋のリーフレットもコピーサービス１枚１０円と２０円と書いてあるものがありどちらが正しいのか意味不明。,1,,,,,,1
2341,446,13,k,k,ベットの枕が良くなかった。,,,1,,,,
2342,446,14,k,k,大浴場の足拭きマットが水浸し状態で、水虫感染の原因。,,,,,1,,
2343,446,15,k,k,大浴場の液体石鹸・シャンプーがPOLAからゆずの香りの物に変った。,,,,,1,,
2344,446,16,k,k,朝食の料理で補充されないものがあった。,,,,,,1,
2345,446,17,k,k,朝、エレベーターに乗るとタバコ臭かったが、喫煙所の空気清浄機の電源が入っていなかった。,1,,,,,,
2346,446,18,k,k,今回もフロント係は大減点、理由は前回と違い予約上の問題が発生した。,1,,,,,,
2347,446,19,y,y,基本とも言うべき事項で、思い込みは時間を必要とし、お客を不愉快にさせるだけなので、再び発生しないよう勉強して頂きたい。,1,,,,,,
2348,446,20,y,y,【提案事項】西館にある無料PCを本館にも設置してもらえると嬉しい。,,,,1,,,
2349,446,21,y,y,朝食にコーヒーだけでなく、紅茶の用意があると良い。,,,,,,1,
2350,446,22,y,y,大浴場が乱れているので見回りを増やしましょう。,,,,,1,,
2351,446,23,Z,Z,電子レンジの設置と空気清浄機の貸出。,,,,1,,,
2352,446,24,y,y,大規模改修の時に部屋のエアコンは個別管理にすると尚良い。（外は涼しいが部屋の中は暑かったー扇風機の貸出？）,,,1,1,,,
2353,446,25,Z,Z,【総合として】2009年5月に続き再び利用しました。,,,,,,,1
2354,446,26,py,e,改善されている点は評価できるが、まだまだ頑張って頂きたいと思います。,,,,,,,1
2355,446,27,Z,Z,新白河で泊まる時はまた利用するでしょう。,,,,,,,1
,,,,,,,,,,,,
2356,447,1,k,k,エアコンが機能せず冷房がきつく寒かったし朝食は見た目も味も悪く残念に思いました。,,,1,,,1,
2357,447,2,k,k,６：３０〜９：３０の利用で、７：３０に行きましたが、お味噌汁が底のほうに少し残っていたので係の方に「まだありますか？」と声をかけたら面倒くさそうにかき混ぜ、はい。と答えたまま２０分間の滞在中足す様子はなかったので帰りました。,,,,,,1,
2358,447,3,k,k,今までで最悪です。,,,,,,,1
2359,447,4,k,k,もう二度と利用しません。,,,,,,,1
,,,,,,,,,,,,
2360,448,1,pk,k,食事、部屋、接客、立地ともすべて満足のいくものですが、下の施設との絡みで、何となくエレベータが遅すぎて不便に感じました。,1,1,1,,,1,
2361,448,2,Z,Z,また利用させていただきたいと思います。,,,,,,,1
,,,,,,,,,,,,
2362,449,1,p,p,「ロープウェイの姥子駅から行くつもりで強羅駅にいますが、チエックインが少し遅れます」と電話すると最終ロープウェイは、もうないとのことで早雲山駅へ車で迎えに来ていただきほんとうに助かりました。,1,1,,,,,
2363,449,2,p,p,夕食はもう若くない私達には多すぎず適量で品数も多く美味しく楽しみながら頂くことができました。,,,,,,1,
2364,449,3,p,p,朝食も和洋食から選べて満足でした。,,,,,,1,
2365,449,4,k,k,部屋の暖房が室内で切っても暑くなって少し寝苦しかったです。,,,1,,,,
2366,449,5,Z,Z,もう一度泊まって富士山を見てみたいなと思います。,,,,,,,1
,,,,,,,,,,,,
2367,450,1,Z,Z,本当は一万人の第九プランが希望だったのですが連泊の空きが無いとの事だったので、こちらから予約しました。,,,,,,,1
2368,450,2,p,p,禁煙室では無かったですが、ニオイも気にならずエレベーター近くの部屋を希望通り取っていただき大変助かりました。,,,1,,,,
2369,450,3,y,y,ただ、回答いただきたいことがあります。（2点）,,,,,,,1
2370,450,4,Z,Z,まず、お部屋を案内していただいた時に、説明を聞きましたところベッドメイキングをお願いする時にはドアノブに札を掛けてください、との事。,,,,,,,1
2371,450,5,Z,Z,持ち物の中にブランド品のボストンがありそれを置いたまま出かけるのと急いで出たので、服を脱ぎ散らかしたまま、出たので札を掛けずに（メイキングを希望せずに）出掛けました。,,,,,,,1
2372,450,6,k,k,戻ってみると、部屋はメイキングされててボストンは移動されており服は、きちんと畳まれ・・・恥ずかしい思いをしました。,,,,,,,1
2373,450,7,k,k,必ずメイキングがあるのなら、あの説明は、必要ありません。,,,,,,,1
2374,450,8,k,Z,同じ時に聞いたのですが冷蔵庫は自己申告制。,,,,,,,1
2375,450,9,k,k,チェックアウト時に記入して精算と聞いておりましたがいざ、記入しようとするとメイキング時に、1日目のが記入されサイン入りの写しの方のみ、残っていました。,,,,,,,1
2376,450,10,k,k,こちらとしては、まとめて書こうと思っていただけに申告していない扱いに思われた気がして大変不愉快でした。,,,,,,,1
2377,450,11,pk,e,こちらが認識していなかったのかもしれませんが殆どのサービスが満足だっただけに、残念です。,,,,,,,1
2378,450,12,y,y,今後も利用したいので、回答を希望します。,,,,,,,1
,,,,,,,,,,,,
2379,451,1,k,k,バスタブの形の都合で、シャワーをあびると水がバスルームの床にどうしてもあふれてしまうのが、何とかならないかなぁ？と感じました。,,,,,1,,
2380,451,2,y,y,マットを２枚準備してもらうほうがいいかな？,,,,,1,,
2381,451,3,k,k,あと、朝食バイキングの時に、込み合っていて相席になったのは仕方がないのですが、係りの人が、席に誘導してくれなかったので、自分で既に食べている人に声をかけて、「相席いいですか？」とお願いしなければなりませんでした。,,,,,,1,
2382,451,4,k,k,きちんと、その係りがいるのだから、案内されるものと思っていたので、少し驚きました。,1,,,,,,
2383,451,5,p,p,でも、価格・立地のことを思うと、よい宿を選んだなぁと満足しています。,,1,,,,,1
,,,,,,,,,,,,
2384,452,1,p,p,温泉好きにはもって来いの宿です。,,,,,1,,
2385,452,2,y,y,事前準備が出来れば最高かな？,,,,,,,1
,,,,,,,,,,,,
2386,453,1,p,p,お値段から考えても、とても過ごしやすく快適なお部屋でした。,,,,,,,1
2387,453,2,p,p,アメニティも必要なものが揃ってましたし、バスバブルも良い香りで嬉しかったです。,,,,1,1,,
2388,453,3,p,Z,今回は早朝出発で朝食を諦めたのですが、次の機会には是非いただいてみたいと思います。,,,,,,1,1
2389,453,4,y,y,あと、苦情ではないのですが、ホテルまでの地図を新しくしていただけると助かります。,1,,,,,,
,,,,,,,,,,,,
2390,454,1,p,p,安さで選びましたが、キレイで部屋も暖かく、クリスマスのイベントもあって楽しめました。,,,1,,,,
2391,454,2,p,p,混雑時なのに、部屋間の音も特に気にならず◎。,,,1,,,,
2392,454,3,p,p,ロビーでパソコンのホットスポットを提供しているなど、設備やサービスもgood！,,,,1,,,
2393,454,4,Z,Z,夕食は「田定食」にしました。,,,,,,1,
2394,454,5,p,Z,他のコースとは別のお店で料理の差とか気にせずいただけます。,,,,,,1,
2395,454,6,Z,Z,料理長？,,,,,,,1
2396,454,7,Z,Z,さんが、自分で育てた無農薬米を食事の時間に合わせて炊き上げてのサービス。,,,,,,,1
2397,454,8,p,p,少食の私がおかわりする程おいしかったです。,,,,,,1,
2398,454,9,p,p,温泉も広く、設備も万全。,,,,,1,,
2399,454,10,p,p,露天風呂が２つなので、グループでわいわいしていても隣でゆっくりできました。,,,,,1,,
2400,454,11,e,k,ただ、わずかに湯の花が浮いていますが、温泉の匂いとかはせず、温泉のためだけにまた来たいほどではないです。,,,,,1,,
2401,454,12,Z,Z,日本３名湯なのに？,,,,,1,,
2402,454,13,p,p,川を挟んで駅側の噴泉や足湯は硫黄のような香りがしてとても気持ちいいお湯でした。,,,,,1,,
2403,454,14,Z,Z,川を境に泉質が違うようです。,,,,,1,,
2404,454,15,pk,e,朝食のバイキングはよかったのですが、お粥や味噌汁、スープなど致命的なものがかなり冷めていて残念でした。,,,,,,1,
,,,,,,,,,,,,
2405,455,1,Z,p,一泊でクラブフロアを利用させていただきました。,,,,,,,1
2406,455,2,p,p,総合的には、非常に満足でした。,,,,,,,1
2407,455,3,p,p,＜○なところ＞・行き届いたサービス。,1,,,,,,
2408,455,4,k,k,強いて言えば、朝刊の種類を聞いてもらえなかったことが、唯一の不満でしょうか。,1,,,,,,
2409,455,5,p,p,・クラブラウンジは大変よかったです。,,,,,,,1
2410,455,6,p,p,無料とは思えないぐらい充実していて、料理も空にならないよう、こまめに補充されていました。,,,,,,1,
2411,455,7,p,o,朝ご飯はこれで十分。,,,,,,1,
2412,455,8,p,p,夜もオードブルやお酒があって、一食にはならないにしても、軽食程度によかったです。,,,,,,1,
2413,455,9,p,p,紅茶のティーパックで迷っていたら、スタッフの方が教えてくださって、そこまで把握されているのに驚きました。,,,,,,1,
2414,455,10,p,p,・浴室備え置きの無料のティーパック、朝用と夜用（カフェイン量が違う？）があって、ちょっとよかったです。,,,,,,1,
2415,455,11,k,k,＜×なところ＞・立地があまりよくない。,,1,,,,,
2416,455,12,k,k,四ツ橋筋・御堂筋いずれに行くにしても、少し歩かないといけないです。,,1,,,,,
2417,455,13,k,k,・ベッドの寝心地があまりよくない。,,,1,,,,
2418,455,14,pk,k,クッションは色々揃っていて、それはよかったのですが・・・・建物内の遮音性が高くない。,,,1,,,,
2419,455,15,k,k,廊下の話し声なんかはダイレクトに入ってきます。,,,1,,,,
2420,455,16,Z,Z,まあ、クラブフロアだと、騒ぐ人もそんなにいないでしょうが。,,,,,,,1
